kinase_id	betweenness	pagerank	degree	depmap_score	cox_hr	logrank_p	dgidb_score	chembl_count	trial_stage	centrality_missing	centrality_norm	essentiality_missing	essentiality_norm	survival_missing	survival_norm	druggability_missing	druggability_norm	CTS
LCK	0.0068947906026557	0.0210782100914329	15.343	-0.0527891633802283	0.9943690759606056	0.0668168946669089	80.0	80.0	0	False	0.3901670828615978	False	0.25902632574629647	False	0.18158012642410085	False	0.34994272623138606	0.2971902831473559
HCK	0.0028089887640449	0.0211461274135355	15.205	-0.0628682963790733	0.997060919959748	0.2627910424118987	23.0	23.0	0	False	0.35957608393539164	False	0.2719360573065025	False	0.31452017641684954	False	0.21935853379152348	0.2983585903697602
BLK	0.0048518896833503	0.00583996669128	3.164	0.0659735034470736	0.9773167761640053	0.0294663668084511	47.0	47.0	0	False	0.10603529589640631	False	0.10691064791067806	False	0.1021010698336425	False	0.27434135166093926	0.1389317885371899
FGR	0.0066394279877425	0.0135027959028259	9.39	-0.0384414344497522	0.9963021261417464	0.9852597417155408	12.0	12.0	0	False	0.25562728892952546	False	0.24064921642426707	False	0.4428143121971308	False	0.19415807560137457	0.28638568395448205
FRK	0.0002553626149131	0.005690062868355	3.063	0.0191565254897495	0.9989711351906136	0.2681613902022421	29.0	29.0	0	False	0.07046346409176103	False	0.16687558913711076	False	0.3164840615876614	False	0.2331042382588774	0.18859979956049683
PTK6	0.0091930541368743	0.0066030958485971	1.606	-0.136190260871997	0.9973944383555924	0.3520422618956192	10.0	10.0	0	False	0.12461175817036284	False	0.36584957935041984	False	0.34290524954344037	False	0.18957617411225658	0.2524874694970252
SRMS	0.0	0.0044681525069724	0.777	0.0952794725829317	0.9902348007907144	0.5280371545951222	9.0	9.0	0	False	0.03118140770970597	False	0.06937446352865184	False	0.38226249990997213	False	0.1872852233676976	0.1597207078461073
PTK2	0.0047242083758937	0.0154972876504855	10.913	-0.6312963288171158	1.004893100294454	0.2140034291424066	37.0	37.0	0	False	0.2762162931324286	False	1.0	False	0.5939284858204292	False	0.25143184421534936	0.5316333782379058
PTK2B	0.001532175689479	0.0162323600007812	11.596	0.0921415753816295	0.9841228144066584	0.1571755666147473	24.0	24.0	0	False	0.26734662865643527	False	0.07339359995010541	False	0.2646220745722462	False	0.22164948453608246	0.209037804134735
JAK1	0.0053626149131767	0.0122277777453515	8.289	0.0150655542865349	0.9989663840404706	0.344153190302227	82.0	82.0	0	False	0.22288666858703124	False	0.17211545848500853	False	0.34070502103194794	False	0.354524627720504	0.2659760459994493
JAK2	0.0094484167517875	0.0177557678594916	11.979	0.1494428330964978	0.99342323055682	0.7449270059389772	161.0	161.0	0	False	0.3412747125892585	False	0.0	False	0.4156692230621991	False	0.5355097365406644	0.3134016668504602
JAK3	0.0	0.0097524388404175	6.304	-0.0742101742741271	0.9920750603401776	0.2155840122209364	106.0	106.0	0	False	0.14037082652245178	False	0.28646315988869464	False	0.2952977430735499	False	0.40950744558991986	0.26945296281528064
TYK2	0.0002553626149131	0.0096092395325515	6.426	0.1187553203582403	0.9941746227871486	0.3533559414320312	82.0	82.0	0	False	0.1425408430015491	False	0.03930571724241627	False	0.34326683426435517	False	0.354524627720504	0.2093103163212584
ABL1	0.0109805924412665	0.0165866270993725	10.288	0.0141745578242668	1.0076088240837635	0.3173397956701789	101.0	101.0	0	False	0.322503720621731	False	0.17325668017047424	False	0.555681268431012	False	0.39805269186712483	0.3585961417103158
ABL2	0.0007660878447395	0.0041318134350974	1.807	0.0978517758468797	1.010086460137441	0.8302388887457623	7.0	7.0	0	False	0.046470171058450804	False	0.06607976103461632	False	0.46231664881053874	False	0.18270332187857963	0.18258081815453994
ZAP70	0.002170582226762	0.0129884029275084	9.302	-0.0021675249455853	0.986862102294051	0.0718923698331731	5.0	5.0	0	False	0.21821330887425802	False	0.19418823268770313	False	0.18868767205957554	False	0.17812142038946163	0.1968072529269894
SYK	0.0114913176710929	0.0217021706867043	15.978	0.0027548586772747	1.00635398964726	0.4377705809883355	55.0	55.0	0	False	0.4359960521766381	False	0.18788345913081506	False	0.5244488885442893	False	0.29266895761741124	0.36741569409524977
BTK	0.0040858018386108	0.0120329008365993	8.396	-0.0165579885668352	0.994576525842466	0.091628094232864	100.0	100.0	0	False	0.2134114968208074	False	0.21262007820442919	False	0.21223586710017434	False	0.39576174112256585	0.24938978359690628
ITK	0.0020429009193054	0.0147616127804223	10.301	0.0237561984141634	0.9830742787738714	0.059266033108632	29.0	29.0	0	False	0.24358265074243934	False	0.16098415554597378	False	0.16993847142146595	False	0.2331042382588774	0.2024262996163672
TEC	0.0002553626149131	0.0068253287988925	4.156	0.0090606549167769	1.1712633157790575	0.1305270816013357	14.0	14.0	0	False	0.09277955321614932	False	0.17980675880999786	False	0.6419253524003535	False	0.19873997709049254	0.2730148891855312
BMX	0.0033197139938712	0.0040581106452764	1.852	0.1423323697361586	1.04788516252478	0.5685775540739932	15.0	15.0	0	False	0.06484019418974697	False	0.00910734814801828	False	0.49906833620751706	False	0.20103092783505153	0.18670216491281824
TXK	0.0033197139938712	0.0076672965334684	4.778	-0.1095115142323434	1.0953171353935678	0.8891306969064363	13.0	13.0	0	False	0.12914817737200024	False	0.3316784400748348	False	0.45566376320813107	False	0.19644902634593356	0.27486980930152827
TNK1	0.0	0.0017492711370262	0.0	-0.0134782836080817	0.9872096605660302	0.2704950422912974	3.0	3.0	0	True	0.5	False	0.20867547658971697	False	0.3173252271025859	False	0.17353951890034366	0.31620807970314446
TNK2	0.0	0.0042786981361852	2.035	0.0547914471651166	0.9959045016415526	0.1909119212975805	21.0	21.0	0	False	0.04487993525979561	False	0.12123304497674747	False	0.28349892848260333	False	0.21477663230240548	0.15760230040325748
CSK	0.0143003064351378	0.0153873678049732	10.139	-0.0252241328986044	1.0023293460242089	0.417912028718893	6.0	6.0	0	False	0.33503434154716083	False	0.2237200008860688	False	0.5289556788415555	False	0.18041237113402062	0.3247616966228584
MATK	0.0007660878447395	0.0081137769110478	5.098	-0.009809362434562	0.9996627569880918	0.0139336155441648	7.0	7.0	0	False	0.11817969287807328	False	0.20397618474872992	False	0.029394353855370984	False	0.18270332187857963	0.13033720689016312
FER	0.0	0.0029673272103333	0.914	0.0472861782305364	1.0618083336850046	0.8946699232928639	18.0	18.0	0	False	0.020814254062776205	False	0.13084607491133482	False	0.4550608446063574	False	0.20790378006872853	0.19430176211200162
FES	0.0005107252298263	0.0040431160299653	1.917	-0.0619124344912514	1.0077923003229057	0.6328737619329967	7.0	7.0	0	False	0.04524845449393231	False	0.27071175355122645	False	0.48866796661843603	False	0.18270332187857963	0.23996013076631126
LMTK2	0.0	0.0017492711370262	0.0	-0.0253954972677449	0.9978484879453218	0.6510942693446695	0.0	0.0	0	True	0.5	False	0.22393949079704045	False	0.40259932719185426	True	0.0	0.3066347044972237
LMTK3	0.0	0.0017492711370262	0.0	-0.0045110286331074	0.9778489414673458	0.9805563878038028	0.0	0.0	0	True	0.5	False	0.19718988010318317	False	0.4423497754476504	True	0.0	0.3098849138877084
